id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
9.50070785533253E+018,0,14103011,1010,1,85f751fd,c4e18dd6,50e219e0,ffc6ffd0,7801e8d9,0f2161f8,e3c6a125,193c81b3,3bd9e8e7,4,0,22886,320,50,2643,2,35,-1,23
1.38211134310527E+019,0,14102611,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,5c3e444a,e1eae715,1,3,21189,320,50,2424,1,161,100192,71
9.90032521815483E+018,1,14102809,1005,1,e8f79e60,c4342784,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1fc93187,5ec45883,1,0,22682,320,50,2528,0,39,100075,221
5.45674747301903E+017,0,14102315,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ed8614c7,8a4875bd,1,0,15706,320,50,1722,0,35,100083,79
1.40489263424656E+019,0,14102211,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,b7e67975,be6db1d7,1,0,16920,320,50,1899,0,431,100081,117
1.25461893919032E+019,0,14102320,1002,0,d1d511f5,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,ffd1ef9b,3694f642,f7e89191,0,0,19665,320,50,2253,2,303,100057,52
7.09711921469034E+018,0,14103015,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,8a4875bd,1,0,15707,320,50,1722,0,35,-1,79
6.01555711479916E+018,0,14102210,1005,0,85f751fd,c4e18dd6,50e219e0,66f5e02e,6f7ca2ba,0f2161f8,5fea13ca,2d7a20eb,8a4875bd,1,0,21772,300,50,2507,0,35,-1,157
5.26661363900902E+016,0,14102415,1005,0,85f751fd,c4e18dd6,50e219e0,a4869716,2347f47a,d1327cf5,a99f214a,04ee3f3c,c01fd4e5,1,2,380,320,50,112,3,1319,-1,15
4.77379859812988E+018,1,14103017,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,097c34f5,be74e6fe,1,0,22813,320,50,2647,2,39,100148,23
2.34328020618558E+018,0,14102716,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7eed0fcd,c144e605,1,0,20108,320,50,2299,2,1327,100084,52
1.70066545880423E+019,0,14102207,1005,1,c63170c5,a9bba545,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,0e372ccd,be6db1d7,1,0,19950,320,50,1800,3,167,100077,23
2.04622592281004E+018,0,14102518,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,be111c4f,99e427c9,1,0,21611,320,50,2480,3,297,100111,61
1.84234125992948E+019,0,14103004,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c1028ac0,1f0bc64f,1,0,17262,320,50,1872,3,39,-1,23
1.72327812655039E+019,0,14102618,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ddbf7104,c4cff2ea,1,0,15701,320,50,1722,0,35,100083,79
3.96651743910996E+017,0,14102821,1005,1,85f751fd,c4e18dd6,50e219e0,1dc72b4d,2347f47a,0f2161f8,48439566,73aac9ba,42eecb1c,1,0,22943,300,50,2654,3,38,100221,23
7.09247844594698E+018,0,14102312,1005,1,57fe1b20,5b626596,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a04993eb,48fdda0b,1,0,20312,320,50,1780,0,1711,100077,48
1.58569068886021E+019,0,14102515,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,40cdb612,ab5132f6,1,0,20391,320,50,2340,3,41,100111,159
3.45072034125537E+018,0,14102520,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,ae7c08ca,8b719844,7abbbd5c,1,0,6990,320,50,613,2,39,100233,32
1.4735403058769E+019,1,14102312,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,1978490,76dc4769,1,0,22007,320,50,2535,0,675,100075,48
1.48586526519292E+019,1,14102514,1005,0,5b08c53b,7687a86e,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,67121578,8571106b,1,0,17654,300,250,1994,2,39,100083,33
6.82701430335237E+018,0,14102805,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,dd4d9562,c6263d8a,1,0,22680,320,50,2528,0,39,100077,221
9.52914263601371E+018,0,14102808,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,d777bd55,1610002a,1,0,22554,320,50,1863,3,39,-1,23
5.34091119805499E+018,0,14102712,1002,0,df7971d4,ace5b8fd,50e219e0,ecad2386,7801e8d9,07d7df22,6f5243fb,8b735b4f,7d5f9c7e,0,0,22700,320,50,2624,0,35,100077,221
6.6901715261724E+018,0,14102304,1005,0,85f751fd,c4e18dd6,50e219e0,28d3bd59,b8d325c3,0f2161f8,a99f214a,069795d7,d6b5c09e,1,2,22118,320,50,2547,2,35,-1,13
4.63589794680659E+018,0,14102615,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,3fb6373b,2692a96a,1,2,21191,320,50,2424,1,161,100193,71
3.0433735575167E+018,0,14102711,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,cc4af4cf,ef726eae,1,0,22684,320,50,2619,1,163,100055,71
3.30736076077457E+018,0,14102300,1005,0,85f751fd,c4e18dd6,50e219e0,39947756,2347f47a,cef3e649,ec6fa47a,683e830d,6569eeb3,1,3,21189,320,50,2424,1,161,100191,71
1.41441656194149E+019,0,14102721,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,f4e1b3fc,981edffc,1,3,21191,320,50,2424,1,161,100189,71
1.32119565850186E+019,0,14102204,1005,0,e3c09f3a,d262cf1e,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,224573fc,e274a11d,1,0,21790,320,50,2513,3,35,100200,68
1.49217710644977E+019,0,14103008,1005,0,bb4524e7,d733bbc3,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,594dae18,609e0b82,1,2,23012,320,50,2658,3,35,100148,23
1.33897025165258E+019,0,14102705,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,31476c0e,88fe1d5d,1,0,19772,320,50,2227,0,935,-1,48
1.84328144084598E+019,0,14102720,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,ba2beee8,a0f5f879,1,0,22682,320,50,2528,0,39,100079,221
