id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
1.08847330054203e+19,0,14102409,1005,0,85f751fd,c4e18dd6,50e219e0,b5a10b93,2347f47a,0f2161f8,a99f214a,5295347f,7ac6007f,1,2,380,320,50,112,3,1319,-1,15
5.46895216011568e+18,0,14102407,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,986618ac,0bcabeaf,1,3,21191,320,50,2424,1,161,100190,71
5.77862206832609e+17,1,14103000,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4db9631e,7044c261,1,0,21674,320,50,2495,2,167,100173,23
1.42903869071339e+19,1,14102913,1005,1,5ee41ff2,17d996e6,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,06a50093,8da868a0,1,0,8994,320,50,827,3,1071,-1,23
4.69990898021099e+18,0,14103006,1005,0,85f751fd,c4e18dd6,50e219e0,73206397,2347f47a,8ded1f7a,c26e0bd2,268e2264,be74e6fe,1,0,23873,320,50,2738,0,163,-1,17
6.89402880770784e+18,0,14102902,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,13ba1958,e1eae715,1,3,21191,320,50,2424,1,161,100193,71
7.75199118891608e+18,0,14102310,1005,0,6e4efb2c,5449fde7,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,5e9aca1f,a76c4b0a,1,0,16920,320,50,1899,0,431,-1,117
1.0785016287086e+19,0,14102820,1002,0,ffcb6b9a,fd0f18e8,50e219e0,ecad2386,7801e8d9,07d7df22,f8696c89,c45ea70c,43e7b962,0,0,17566,320,50,479,3,39,100081,23
4.68935022735537e+18,0,14102811,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,389d4734,2203a096,1,0,23160,320,50,2667,0,35,-1,221
1.5595335609014e+18,0,14102818,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,5501ad95,2692a96a,1,3,21189,320,50,2424,1,161,100189,71
1.42610785511752e+19,0,14102811,1005,0,543a539e,c7ca3108,3e814130,ecad2386,7801e8d9,07d7df22,a99f214a,73b9d78c,c1a17447,1,0,22684,320,50,2619,1,163,-1,71
1.49465321361906e+19,0,14102208,1010,1,85f751fd,c4e18dd6,50e219e0,03a08c3f,7801e8d9,0f2161f8,7c2bf944,346dc9e1,b4d21d55,5,2,15706,320,50,1722,0,35,100083,79
1.00935095512034e+19,0,14102707,1005,1,856e6d3f,58a89a43,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4c2ab3c8,158e4944,1,0,18856,320,50,1882,3,35,-1,13
1.64708077068155e+19,1,14102212,1005,0,5bcf81a2,9d54950b,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,15814785,a9fb0439,1,0,21767,320,50,2506,0,35,100111,157
9.79348819212866e+18,0,14102722,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a99f214a,76bf2ef0,35dfe54d,1,0,17016,320,50,1873,3,39,-1,23
1.29362721818243e+18,1,14102721,1005,1,93de26ae,7d05db75,335d28a8,ecad2386,7801e8d9,07d7df22,a99f214a,64ba555a,b2b7ca9f,1,0,19772,320,50,2227,0,935,100079,48
4.47186480822923e+17,0,14102607,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,7fdfb1a1,e1eae715,1,3,21189,320,50,2424,1,161,100193,71
1.03942126943755e+19,1,14103023,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,4f8e5499,9e3836ff,1,0,23722,320,50,2716,3,47,-1,23
3.94613034471218e+18,1,14102511,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e3bef49d,be6db1d7,1,0,4687,320,50,423,2,39,100148,32
4.02647067675351e+18,0,14102302,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,68710184,0653f35f,8a4875bd,1,0,18091,320,50,2060,3,39,100048,23
7.62171822403047e+18,0,14102808,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e82d2831,8a4875bd,1,0,22683,320,50,2528,0,39,100077,221
7.97966331485368e+18,0,14102209,1005,0,85f751fd,c4e18dd6,50e219e0,a5184c22,b8d325c3,0f2161f8,a99f214a,42115f7b,7ac6007f,1,2,21767,320,50,2506,0,35,-1,157
1.50903496000195e+19,1,14102314,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,a76e79a1,1b13b020,1,0,17014,320,50,1872,3,39,-1,23
1.47933729080462e+18,0,14102920,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bb88cf6b,90df9d44,1,0,22815,320,50,2647,2,35,100148,23
2.22648042525562e+18,1,14102716,1005,1,5b4d2eda,16a36ef3,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,6f96d8df,ca136f4e,1,0,19772,320,50,2227,0,935,-1,48
4.55486755306643e+18,0,14102209,1005,0,85f751fd,c4e18dd6,50e219e0,f0d41ff1,2347f47a,0f2161f8,a99f214a,1432109c,be74e6fe,1,0,21767,320,50,2506,0,35,-1,157
5.89864816768031e+18,0,14103018,1005,0,85f751fd,c4e18dd6,50e219e0,3c4b944d,2347f47a,0f2161f8,1ade5b7d,189bb60d,24a38884,1,2,16858,320,50,1887,3,39,100202,23
