id,click,hour,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21
7.09711921469034E+018,0,14103015,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,431b3174,8a4875bd,1,0,15707,320,50,1722,0,35,-1,79
5.26661363900902E+016,0,14102415,1005,0,85f751fd,c4e18dd6,50e219e0,a4869716,2347f47a,d1327cf5,a99f214a,04ee3f3c,c01fd4e5,1,2,380,320,50,112,3,1319,-1,15
5.34091119805499E+018,0,14102712,1002,0,df7971d4,ace5b8fd,50e219e0,ecad2386,7801e8d9,07d7df22,6f5243fb,8b735b4f,7d5f9c7e,0,0,22700,320,50,2624,0,35,100077,221
5.34352243859332E+018,0,14102507,1005,0,85f751fd,c4e18dd6,50e219e0,92f5800b,ae637522,0f2161f8,a99f214a,b98b4e6c,0bcabeaf,1,3,21191,320,50,2424,1,161,100193,71
1.52670292568636E+018,0,14102611,1005,0,85f751fd,c4e18dd6,50e219e0,51cedd4e,aefc06bd,0f2161f8,a99f214a,e426dc20,894fb406,1,0,18648,320,50,1092,3,811,100156,61
1.63350451742229E+019,0,14102417,1005,1,85f751fd,c4e18dd6,50e219e0,cf0327f9,2347f47a,0f2161f8,974f20c2,025256a2,665db423,1,2,20004,300,50,2283,0,163,100076,95
4.31797938809294E+018,0,14102110,1005,0,85f751fd,c4e18dd6,50e219e0,f888bf4c,5b9c592b,0f2161f8,4c3e7d87,9950460b,a5bce124,1,0,19251,320,50,2201,3,35,100084,43
4.65974092162989E+018,0,14102104,1005,0,85f751fd,c4e18dd6,50e219e0,521b316b,2347f47a,0f2161f8,82a58929,e77e976f,f87e93a5,1,3,20003,320,50,2282,3,35,-1,117
1.7437724956838E+019,0,14102406,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,ea9edeb5,779d90c2,1,0,20108,320,50,2299,2,1319,-1,52
1.53325753927173E+018,0,14102105,1005,1,16c73019,8025317b,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c6f00871,7abbbd5c,1,0,21664,320,50,2492,3,35,-1,43
1.3108939459784E+019,0,14102213,1005,0,85f751fd,c4e18dd6,50e219e0,f888bf4c,5b9c592b,0f2161f8,222350f3,4e6d45dd,158e4944,1,0,21767,320,50,2506,0,35,-1,157
1.45102944179917E+019,0,14102517,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,7400d004,8a4875bd,1,0,15708,320,50,1722,0,35,100084,79
2.58136048678086E+018,0,14102208,1005,0,6227cf3f,3c6ac0d4,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e0e56550,1f0bc64f,1,0,21274,320,50,2443,2,39,-1,23
1.70521288763623E+019,0,14102309,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,c3566cd3,4ea23a13,1,0,22102,320,50,2545,0,39,-1,221
1.11369310496298E+019,0,14102811,1005,0,85f751fd,c4e18dd6,50e219e0,a97b17d0,aefc06bd,0f2161f8,a99f214a,6bd342cc,24f6b932,1,0,15701,320,50,1722,0,35,-1,79
3.6291648371603E+018,0,14102715,1005,0,85f751fd,c4e18dd6,50e219e0,febd1138,82e27996,0f2161f8,a99f214a,47f6252f,9b5ce758,1,0,21611,320,50,2480,3,297,100111,61
1.7345786982178E+018,0,14102205,1005,0,6256f5b4,28f93029,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,e30e04df,7abbbd5c,1,0,16615,320,50,1863,3,39,-1,23
1.50128262076144E+019,0,14102308,1002,0,c74e86fb,7bd4e8cc,50e219e0,ecad2386,7801e8d9,07d7df22,8554bdbc,2f3ff4cc,ff16d623,0,0,15701,320,50,1722,0,35,100083,79
1.31634873394956E+019,0,14102417,1005,0,85f751fd,c4e18dd6,50e219e0,cfbd8210,d9b5648e,0f2161f8,a99f214a,4d0d4261,aad45b01,1,0,20392,320,50,2340,3,41,100111,159
1.83797541878008E+019,0,14103004,1005,0,85f751fd,c4e18dd6,50e219e0,9c13b419,2347f47a,f95efa07,a99f214a,421eda06,7abbbd5c,1,0,23160,320,50,2667,0,35,-1,221
5.04907486999175E+017,0,14102809,1005,0,85f751fd,c4e18dd6,50e219e0,e9739828,df32afa9,cef3e649,a99f214a,e56a0eaf,aa35da31,1,0,23144,320,50,2665,0,34,100057,221
1.74381361384436E+019,1,14102313,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,c80ae12e,945dd5c4,1,0,20355,216,36,2333,0,39,-1,157
7.68296720300962E+018,1,14102710,1005,0,9ee9dd00,759d1c56,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,62a05dc3,88fe1d5d,1,0,17786,320,50,1008,3,47,-1,23
1.56202630441926E+019,1,14102812,1005,0,85f751fd,c4e18dd6,50e219e0,a5184c22,b8d325c3,0f2161f8,a99f214a,d939a1a3,ff065cf0,1,2,23222,320,50,2676,0,35,100176,221
8.12529132551922E+018,0,14102900,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,6bd342cc,6332421a,1,0,22676,320,50,2616,0,35,-1,51
8.41768708499392E+018,0,14103014,1005,1,b7e9786d,b12b9f85,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,bbd163f1,9efa421a,1,0,19771,320,50,2227,0,935,-1,48
1.82825740234272E+019,0,14102921,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,2e33d08d,1f0bc64f,1,0,23722,320,50,2716,3,47,-1,23
9.08238781910166E+018,0,14103010,1005,0,12fb4121,6b59f079,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,49721479,8571106b,1,0,18920,320,50,2150,0,169,100105,104
9.59152822804434E+018,0,14102523,1005,1,e151e245,7e091613,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,3c2e416f,6ae7fb43,1,0,17264,320,50,1872,3,39,-1,23
4.66106977645397E+018,0,14102622,1005,0,85f751fd,c4e18dd6,50e219e0,e2a1ca37,2347f47a,8ded1f7a,a99f214a,9ac97e3d,5096d134,1,0,15703,320,50,1722,0,35,100084,79
1.42301718869057E+017,0,14102716,1005,0,9a977531,a434fa42,f028772b,ecad2386,7801e8d9,07d7df22,a99f214a,520f416b,8f5c9827,1,0,19771,320,50,2227,0,935,100077,48
1.65145697237622E+019,0,14102308,1005,0,85f751fd,c4e18dd6,50e219e0,54c5d545,2347f47a,0f2161f8,a99f214a,26724b94,f5267723,1,0,15702,320,50,1722,0,35,-1,79
1.27729946114604E+019,0,14102910,1005,0,85f751fd,c4e18dd6,50e219e0,260d3515,b9528b13,cef3e649,a99f214a,8e634459,ecb851b2,1,0,23754,320,50,2724,0,33,-1,253
4.89010876143713E+018,0,14102409,1005,0,85f751fd,c4e18dd6,50e219e0,7358e05e,b9528b13,cef3e649,c51f7006,544445de,a5a2318d,1,0,16615,320,50,1863,3,39,-1,23
1.35005051034559E+019,0,14102810,1002,0,777289ac,f06a7383,50e219e0,ecad2386,7801e8d9,07d7df22,4607d772,8edcd3d6,6f856677,0,0,21412,320,50,2467,2,167,100075,23
1.2979488854628E+019,1,14102316,1005,0,4bf5bbe2,6b560cc1,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,30fbfe3e,13472f46,1,0,20093,300,250,2295,2,35,-1,23
1.40872173461126E+019,0,14103008,1005,0,85f751fd,c4e18dd6,50e219e0,f888bf4c,5b9c592b,0f2161f8,5ceb56c1,6ec97714,78d9bd10,1,0,23394,320,50,2681,1,419,100084,212
9.84728415853395E+018,0,14102716,1002,0,0273c5ad,c4e18dd6,50e219e0,ecad2386,7801e8d9,07d7df22,92da7779,eeac9e5c,6fbf9f9f,0,0,22756,320,50,2639,2,35,-1,23
2.48869886840069E+018,0,14103003,1005,1,8e35d87a,5f04e433,f66779e6,ecad2386,7801e8d9,07d7df22,a99f214a,fbf34a4d,9a45a8e8,1,0,22196,320,50,2556,3,167,100202,23
5.42192514459331E+018,0,14102415,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,550f00a5,f07e20f8,1,2,20108,320,50,2299,2,1327,100084,52
1.30337836814445E+019,0,14102605,1005,0,1fbe01fe,f3845767,28905ebd,ecad2386,7801e8d9,07d7df22,a99f214a,3d7edc73,b7c5bc1f,1,0,15706,320,50,1722,0,35,100084,79
