click,C1,banner_pos,site_id,site_domain,site_category,app_id,app_domain,app_category,device_id,device_ip,device_model,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,day_0,day_1,day_2,day_3,day_4,day_5,day_6,hour_0,hour_1,hour_2,hour_3,hour_4,hour_5,hour_6,hour_7,hour_8,hour_9,hour_10,hour_11,hour_12,hour_13,hour_14,hour_15,hour_16,hour_17,hour_18,hour_19,hour_20,hour_21,hour_22,hour_23
1,345995,564428,486317,900909,196941,350208,458689,836955,725226,920471,464443,259883,564428,731521,248116,986963,230793,564428,870086,849033,49415,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0,345995,564428,429460,964007,815315,585620,957157,318934,725226,9571,126281,259883,564428,283588,248116,986963,745612,702779,230046,70588,811872,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,345995,564428,429460,964007,815315,684974,922421,318934,725226,351450,884334,259883,564428,380354,248116,986963,608636,702779,389262,328281,482124,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,942411,791569,259883,564428,527943,248116,986963,161761,631216,939892,328281,991672,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,564428,955002,35069,180617,350208,458689,836955,725226,946012,613009,259883,564428,436426,248116,986963,706929,702779,282545,849033,921291,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,246871,143941,372431,350208,458689,836955,725226,457876,763844,259883,564428,842450,248116,986963,66602,564428,282545,328281,224261,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,486317,900909,196941,350208,458689,836955,725226,255541,805471,259883,564428,336367,248116,986963,66602,564428,282545,328281,224261,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,173794,564428,905526,964007,815315,350208,458689,836955,748270,628668,931720,564428,564428,79938,248116,986963,651277,631216,939892,314736,943842,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,412783,613461,259883,564428,676083,803942,807057,757669,564428,282545,328281,49415,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,345995,564428,932194,445246,326240,350208,458689,836955,725226,297105,759632,259883,564428,479073,248116,986963,397127,631216,869051,314736,108916,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,345995,259883,882473,986835,372431,350208,458689,836955,725226,611722,705088,259883,564428,527943,248116,986963,161761,631216,939892,103976,991672,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,345995,259883,343534,368606,372431,350208,458689,836955,725226,232072,721661,259883,564428,556821,248116,986963,331498,631216,954791,328281,546470,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,345995,564428,579086,702644,326240,350208,458689,836955,725226,435524,79269,259883,564428,14079,1919,515431,148529,631216,939892,926416,218808,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
