C1,banner_pos,C14,C15,C16,C17,C18,C19,C20,C21
1005,1,16920,320,50,1899,0,431,100077,117
1002,0,17212,300,250,1887,3,39,-1,23
1010,7,15698,216,36,1722,2,35,100181,79
1012,4,22221,728,480,2560,1,43,100084,61
1007,2,16615,480,90,1863,,803,100083,221
1001,5,21835,120,320,2523,,47,100004,229
1008,3,15705,1024,20,2726,,1327,100189,52
,,15704,768,768,2716,,161,100111,71
,,23804,,1024,2684,,297,100176,32
,,23725,,,2424,,299,100148,91
,,23438,,,2480,,167,100074,212
,,21189,,,2676,,171,100156,157
,,21611,,,423,,175,100075,51
,,23222,,,2043,,33,100191,15
,,4687,,,2495,,419,100193,16
,,17914,,,2526,,681,100081,43
,,15707,,,2260,,687,100028,101
,,21691,,,761,,38,100031,48
,,21883,,,2688,,673,100205,33
,,19733,,,2507,,41,100076,42
,,21877,,,2519,,815,100182,253
,,8330,,,1873,,1063,100188,178
,,23454,,,2695,,163,100131,95
,,21769,,,1800,,1451,100202,246
,,21816,,,2691,,679,100034,76
,,21191,,,2667,,1711,100172,69
,,17016,,,2493,,935,100079,70
,,23539,,,1872,,291,100112,159
,,16208,,,178,,427,100049,100
,,23562,,,2545,,303,100055,112
,,23160,,,2624,,169,100013,82
,,21665,,,1934,,811,100000,94
,,17014,,,2682,,551,100151,13
,,1038,,,2524,,801,100173,46
,,22102,,,2201,,1315,100103,182
,,22700,,,1895,,809,100117,68
,,17037,,,2502,,559,100241,17
,,23405,,,2229,,547,100162,156
,,23136,,,1973,,1065,100177,171
,,19251,,,2657,,1319,100217,111
,,20751,,,1769,,813,100020,108
,,21727,,,2537,,1059,100048,110
,,19493,,,1994,,34,100050,35
,,15699,,,2566,,937,100192,204
,,17239,,,2616,,553,100194,90
,,22996,,,2680,,675,100160,20
,,16011,,,2668,,943,100094,251
,,21732,,,2724,,289,100141,126
,,15701,,,2467,,1839,100190,194
,,22022,,,2338,,295,100059,177
,,17654,,,2573,,1575,100199,102
,,22268,,,544,,1071,100105,116
,,22676,,,2333,,1835,100161,104
,,19950,,,2482,,1831,100155,255
,,23369,,,1993,,423,100052,93
,,23165,,,2162,,1583,100170,1
,,15706,,,2283,,45,100228,195
,,23760,,,2683,,290,100061,85
,,21412,,,906,,555,100119,219
,,20388,,,2754,,425,100143,163
,,22315,,,2747,,939,100057,
,,21886,,,2420,,1195,100248,
,,15708,,,2281,,683,100051,
,,6364,,,2227,,417,100171,
,,20362,,,2636,,545,100005,
,,21630,,,2748,,1447,100135,
,,17753,,,2340,,,100233,
,,19016,,,2291,,,100133,
,,20007,,,2323,,,100101,
,,23430,,,2710,,,100200,
,,9478,,,2736,,,100003,
,,21758,,,1780,,,100221,
,,17614,,,1741,,,100046,
,,21893,,,122,,,100144,
,,23722,,,898,,,100113,
,,24034,,,2494,,,100130,
,,23989,,,2619,,,100128,
,,21153,,,2647,,,100212,
,,19998,,,2641,,,100060,
,,19771,,,2264,,,100019,
,,22738,,,2253,,,100062,
,,15702,,,2497,,,100149,
,,22254,,,2665,,,100123,
,,22559,,,2299,,,100210,
,,23993,,,2512,,,100086,
,,20392,,,547,,,100224,
,,21763,,,1752,,,100072,
,,20072,,,2653,,,100001,
,,20251,,,2478,,,100022,
,,21770,,,2546,,,100026,
,,20359,,,2374,,,100106,
,,23649,,,2506,,,100021,
,,23866,,,2577,,,100053,
,,21875,,,2039,,,100041,
,,21413,,,2449,,,100056,
,,20312,,,2286,,,100183,
,,15840,,,2441,,,100040,
